Company Name,ASX code,Date Delisted*,Reason
MRI HOLDINGS LIMITED.,MRI,31/08/2010,following entity has failed to pay to ASX Limited their annual listing fee in respect of year ending June 2011.
NYLEX LIMITED,NLX,31/08/2010,following entity has failed to pay to ASX Limited their annual listing fee in respect of year ending June 2011.
POLARTECHNICS LIMITED,PLT,31/08/2010,following entity has failed to pay to ASX Limited their annual listing fee in respect of year ending June 2011.
TAMAYA RESOURCES LIMITED,TMR,31/08/2010,following entity has failed to pay to ASX Limited their annual listing fee in respect of year ending June 2011.
TIMBERCORP PRIMARY INFRASTRUCTURE FUND,TPF,31/08/2010,following entity has failed to pay to ASX Limited their annual listing fee in respect of year ending June 2011.
AUROX RESOURCES LIMITED,AXO,1/09/2010,at entity's request.
DMC MINING LIMITED,DMM,1/09/2010,following the completion of compulsory acquisition of the outstanding shares in the abovementioned Company.
AFRICAN PETROLEUM CORPORATION LIMITED,AFQ,3/09/2010,following Listing Rule 17.11.
DEXION LIMITED,DEX,3/09/2010,following receipt of a copy of the compulsory acquisition notice from G.U.D Holdings Limited.
INTERNATIONAL PETROLEUM LIMITED,IPO,3/09/2010,pursuant to Listing Rule 17.11.
ADELPHI ENERGY LIMITED,ADI,8/09/2010,following the completion of the compulsory acquisition by ACR Energy Limited.
CORPORATE EXPRESS AUSTRALIA LIMITED,CXP,8/09/2010,following the completion of the compulsory acquisition by Staples Australia Pty Limited.
SHIELD MINING LIMITED,SHX,17/09/2010,following the compulsory acquisition of the outstanding shares in the Company.
WATTYL LIMITED,WYL,22/09/2010,following the completion of the scheme of arrangement whereby all the Company's shares were acquired by The Valspar (Australia) Paint Acquistion Pty Limited.
CBH RESOURCES LIMITED,CBH,30/09/2010,"following the compulsory acquisition by Toho Zinc Co., Ltd."
LIHIR GOLD LIMITED.,LGL,1/10/2010,Following the completion of the merger with Newcrest Mining Limited by scheme of arrangement.
MACARTHURCOOK INDUSTRIAL PROPERTY FUND,MIF,8/10/2010,following confirmation of the implementation of the scheme proposal by CommonWealth REIT to acquire all of the securities of the Fund.
HEALTHSCOPE LIMITED,HSP,14/10/2010,following the completion of the scheme of arrangement with Asia Pacific Healthcare Group Pty Ltd.
TUTT BRYANT GROUP LIMITED,TBG,14/10/2010,following the compulsory acquisition of Tutt Bryant Group by Tat Hong International Pte Ltd.
MOSAIC OIL NL,MOS,22/10/2010,following completion of the scheme of arrangement between the Company and AGL Energy Limited.
"CONSTELLATION BRANDS, INC",CBR,24/11/2010,at the request of the Company.
MITCHELL COMMUNICATION GROUP LIMITED,MCU,24/11/2010,following confirmation of the implementation of the scheme of arrangement by which Aegis Group plc has acquired all of the issued shares of the Company.
AMMTEC LIMITED,AEC,26/11/2010,following compulsory acquisition by Campbell Brothers Limited in accordance with Listing Rule 17.14.
CENTENNIAL COAL COMPANY LIMITED,CEY,30/11/2010,following completion of the compulsory acquisition process by Banpu Minerals (Singapore) Pte Ltd.
KEYCORP LIMITED,KYC,8/12/2010,following completion of the scheme of arrangement between the Company and Overland Transaction Services Pty Ltd.
AWB LIMITED,AWB,10/12/2010,At the request of the Company.
NORTH QUEENSLAND METALS LIMITED,NQM,10/12/2010,Following receipt of advice from the abovementioned company of the compulsory acquisition by Conquest Mining Limited.
COEUR D'ALENE MINES CORPORATION.,CXC,14/12/2010,At the request of the company.
SKYCITY INVESTMENTS AUSTRALIA LIMITED,SKA,16/12/2010,following the previous redemption of SKYCITY ACES on the reset date of 15 December 2010. (refer to the Daily Schedule dated 16 December 2010)
INTOLL GROUP,ITO,17/12/2010,following the receipt of advice from the abovementioned group of the completion of the scheme of arrangement between the group and Canada Pension Plan Investment board.
NGM RESOURCES LIMITED,NGM,17/12/2010,following the compulsory acquision of the abovementioned company by Paladin Resources Limited.
ADTRANS GROUP LIMITED,ADG,20/12/2010,Following the compulsory acquisition of Adtrans Group Limited by A.P. Eagers Limited.
CHOISEUL INVESTMENTS LIMITED,CHO,22/12/2010,following the implementation of the merger with Milton Corporation Limited.
MARINE PRODUCE AUSTRALIA LIMITED,MPA,22/12/2010,following approval by shareholders at the company's Annual General Meeting held on 22 November 2010.
WRIDGWAYS AUSTRALIA LIMITED,WWA,22/12/2010,following the completion of the scheme of arrangement whereby the Company's fully paid ordinary shares have been acquired by Santa Fe Moving and Relocation Services Australia Pty Ltd.
AEVUM LIMITED,AVE,30/12/2010,following completion of compulsory acquisition of the Company's securities by Stockland Development Pty Ltd (as trustee for the Retirement Living Acquisition Trust).
SEIZA AUGUSTUS SERIES 2007-1 TRUST,SEB,30/12/2010,follwoing the request of the Trust.
